model,factor,window,status,n_windows,beta_mean,beta_min,beta_max,beta_last
Global RRP,equity,252,ok,1763,0.022344444119907287,-0.1864779123670564,0.29943517912637657,0.05762397625069634
Global RRP,bond,252,ok,1763,1.6822952469586376,-0.7102650104390262,4.107142507381718,1.5725116774110623
Global RRP,commodity_gold,252,ok,1763,0.058445150305852546,-0.04505192727406822,0.21471303935053174,0.20375046395829902
Global RRP,defensive,252,ok,1763,-0.013766345135540134,-0.11478657802017737,0.04000040050014024,0.02163431757724386
Global RRP,global_risk,252,ok,1763,0.24848397311856374,0.023068377303012214,0.4754534529039155,0.2864349900353718
Improved Convex Adaptive Global RRP,equity,252,ok,1763,0.1192880451668194,0.012423295042640057,0.22487042126214424,0.11983765906337741
Improved Convex Adaptive Global RRP,bond,252,ok,1763,0.9009267785913947,-0.1609011975400439,2.0608986302972503,0.5828228093243318
Improved Convex Adaptive Global RRP,commodity_gold,252,ok,1763,0.1754442276985111,0.11080755022686388,0.2158301116203525,0.17174797492786195
Improved Convex Adaptive Global RRP,defensive,252,ok,1763,0.00647657549178347,-0.043732952060640935,0.03854159979395068,0.029086895534074102
Improved Convex Adaptive Global RRP,global_risk,252,ok,1763,0.22721701481809856,0.1453450850795014,0.3100014845309932,0.1859010247024491
