model,gross_annual_return,net_annual_return,transaction_cost_drag,annualized_volatility,sharpe_ratio,turnover_adjusted_sharpe,sortino_ratio,max_drawdown,calmar_ratio,total_return,avg_monthly_turnover,annualized_turnover,cvar_95_daily_loss
Global Relaxed Risk Parity,0.05987927634777912,0.05901542818283234,0.0008638481649467789,0.035636024985715165,1.1453417770133836,1.656060916067067,1.3033595139681036,-0.04380047783081764,1.3473695061223645,0.35420662481010146,0.22447115548895774,2.710350067515432,0.0057512954837139595
Defensive Dynamic Relaxed Risk Parity,0.03956847719553558,0.038783581183898796,0.000784896011636782,0.04248839023169964,0.484451895486072,0.9128042030399927,0.5406430985335552,-0.06513585633071362,0.5954259814591724,0.2160110846920702,0.20216164152637084,2.440976514628329,0.0070355102442858745
HRP Benchmark,-0.001132092732320955,-0.001188777816509834,5.6685084188878854e-05,0.0030485680448863323,-6.359962294111352,-0.38994629577118667,-3.0438558697264035,-0.0072630846663555015,-0.16367395825861183,-0.006270333750903356,0.015628005330724146,0.1886984775883304,0.0001117792055220044
HERC Benchmark,-0.0009494468830956171,-0.0010075334636873157,5.808658059169858e-05,0.003047424844402376,-6.302873555345731,-0.33061798571931666,-3.8024500418324165,-0.007268377013738725,-0.13861876754368554,-0.005316406741402435,0.016011688811563982,0.19333121779913204,0.00011668899578423584
Convex Global Relaxed Risk Parity,0.055525871217018574,0.055491968567548344,3.390264947022992e-05,0.060297023854084614,0.6184711314739646,0.9203102412124978,0.9429581674510998,-0.07958600339881872,0.6972578870366043,0.3305500947093656,0.00886095859359643,0.10699058268797011,0.008521946561401065
Turnover-Aware Convex Global RRP,0.05149018288817553,0.05148641995087133,3.762937304196967e-06,0.06571629598428573,0.5065169826192102,0.7834650322224934,0.8012958051010148,-0.08537397617357301,0.6030692519954183,0.3040649807563198,0.0009880382421535207,0.011929949353605732,0.008959277609043002
CVaR-Aware Convex Global RRP,0.0554337311062687,0.05539796149122811,3.576961504059284e-05,0.05908757826387537,0.6295394494779961,0.9375568117520396,0.960692484216289,-0.07737691859645712,0.7159494393947684,0.3299235518775643,0.009348352293707817,0.11287555951328199,0.008357733587121557
Convex Adaptive Global Relaxed Risk Parity,0.05368798762479887,0.05364869446920406,3.9293155594810614e-05,0.06149770639887819,0.5764230333938226,0.8723690298502368,0.8867939699283776,-0.08147293317597326,0.6584848780800407,0.31830852731959425,0.010285013450115277,0.12418516240180512,0.008632379266609397
Convex Adaptive Global RRP + Asset Graph Features,0.05389306933714444,0.05385704783110645,3.6021506037986484e-05,0.06203961922354078,0.5747464004030585,0.8681073240802634,0.884138822958672,-0.08212674141721377,0.6557796754349006,0.3196876494372973,0.009427560317084341,0.11383194729967126,0.008702556917421644
Convex Adaptive Global RRP + Transaction-Cost-Aware Objective,0.039958235022959254,0.03995148713538277,6.7478875764859225e-06,0.06948803310334378,0.3130249362941902,0.5749405379767512,0.503330222624483,-0.1027617726249852,0.3887777148529752,0.23017327753348216,0.0017924236656003349,0.021642404755719744,0.009370962938100491
Convex Adaptive Global RRP + Graph + Transaction Cost + Stable Online Regime,0.03894655124727997,0.0389395667851089,6.984462171066852e-06,0.06966561433519516,0.2977016277402042,0.5589495930912445,0.47862682019165614,-0.10321605619763174,0.37726268779878414,0.22385657580229945,0.0018573467879720131,0.022426311216752984,0.009394136101347558
